ra dec stellar_mass r50_s11 r50_nsa bar_fraction B_T
214.33894518666673 8.894191426655564 10.719352722167969 9.97 8.612948897734217 0.658 0.09
194.6599229002556 53.410004711821905 10.270955085754395 7.3 5.756833108127962 0.183 0.13
208.6479798270317 34.1935712870943 10.076871871948242 5.1 4.615695485810674 0.211 0.11
177.5335426657864 37.67411658730417 10.261186599731445 5.6 4.648604179881788 0.053 0.14
241.23417348308806 30.525775602157868 10.65532398223877 3.13 3.149348800535905 0.107 0.2
140.10153598456228 56.23469767727949 10.47005844116211 5.03 5.222720182692867 0.02 0.93
198.2386430829051 6.259482673148944 10.298233985900879 4.03 3.7351164847781995 0.304 0.7
248.7732880754652 44.53096164295119 10.262763023376465 4.33 4.307877993185361 0.231 0.88
242.19979750352957 8.950164942235187 10.81023120880127 7.23 5.8581973550155535 0.739 0.34
225.51414409992654 18.492955157911968 10.567464828491211 5.14 5.017688525878644 0.042 0.92
118.54330187227082 28.623493559199385 10.325716018676758 6.95 5.950355793425952 0.057 0.15
160.86086006465803 10.952927353568025 10.264171600341797 4.68 4.831346294964291 0.138 0.99
232.07278568433156 14.579946242676865 10.066947937011719 7.29 7.012619023806049 0.114 0.06
241.4257436326082 42.84703569605198 10.165349960327148 8.47 7.615958465593936 0.147 0.07
202.98874282515308 -2.939732856386821 10.47651195526123 7.4 6.431251877453733 0.051 0.32
230.41914083171395 25.842581624458056 10.506640434265137 6.0 5.579605747174632 0.283 0.2
241.2156060186059 30.526011782860685 10.47358512878418 3.34 3.0518553852029084 0.0 0.35
173.8985747245085 51.75851849224053 10.89357852935791 6.37 4.971526883445834 0.094 0.31
196.5545733087314 1.4784970678210043 10.047438621520996 8.11 7.745542739337307 0.0 0.04
197.84886360396484 53.19931918560667 10.132758140563965 5.09 4.45610942608078 0.343 0.33
32.08408895052317 1.1842701256272439 10.714635848999023 8.86 6.972762495120681 0.326 0.56
229.30916736736847 40.945436201426176 10.173249244689941 5.62 4.963835978189191 0.0 0.06
242.45130039024286 42.33399079599043 10.694533348083496 11.24 9.413049646651118 0.324 0.19
141.01021034098187 23.07547326262839 10.44839859008789 3.48 3.059903596943229 0.056 0.9
210.17036248989908 34.14714216240815 10.74230670928955 4.51 4.396618054752261 0.867 0.2
133.41970820561286 1.5634967102437523 10.495584487915039 6.41 5.291227582150948 0.027 0.06
226.87121025280405 57.471175397691496 10.10860824584961 5.66 4.43830414369339 0.136 0.21
201.6933624407292 44.93552599789351 10.177553176879883 6.48 6.261082093469474 0.0 0.9
170.93576037821015 3.0052368630222155 10.676895141601562 4.82 4.72924905855509 0.129 0.29
229.93460750478607 44.32184441448329 10.574238777160645 3.91 4.15390215715796 0.089 0.47
196.92226371606884 53.27646384265935 10.302328109741211 3.4 2.9743736812842085 0.309 0.14
205.3999438211889 15.2237877654376 10.817985534667969 5.5 4.701384398784576 0.621 0.57
136.51421317370136 35.92391843542426 10.451897621154785 4.82 4.828462507815222 0.1 0.91
175.6097426466774 35.812903658203844 10.67273235321045 7.98 6.50786603356979 0.758 0.47
166.14537431655683 20.080573055879675 10.006945610046387 2.46 2.164716155016166 0.733 0.59
234.78276618907057 14.023064481148278 10.404565811157227 2.12 2.1120272964770703 0.286 0.39
135.41653713863093 16.473723549886618 10.945866584777832 6.14 5.838737841673014 0.07 0.22
230.5217182809444 5.854863969937504 10.501267433166504 3.65 2.9933038658642457 0.091 0.62
239.6906648870694 44.683948277435064 10.299745559692383 3.83 3.2206458563921294 0.875 0.44
229.95495232012954 5.7967622722847745 10.25345230102539 6.36 5.942730154336231 0.036 0.56
253.7940864296413 23.02803761757938 10.662964820861816 7.58 6.688147263835006 0.177 0.16
174.67154891161863 35.7754181335943 10.556246757507324 4.28 4.306706044105232 0.208 0.44
145.25669631810067 26.10783518062121 10.180567741394043 3.65 3.871312827261955 0.5 0.47
206.19854386615495 7.980743269875903 10.0375394821167 2.67 2.6627021383402325 0.0 0.95
149.8723127671581 11.200671875548812 10.654255867004395 6.35 5.523798872676544 0.638 0.4
261.10511407037575 53.51791995472791 10.026150703430176 1.99 1.7095851511552984 0.938 0.59
32.81049933382658 1.0876225394326893 10.162519454956055 3.95 3.7743477662420215 0.128 0.07
137.19069794097317 55.50583899150378 10.924477577209473 5.1 5.196373940140587 0.091 0.24
209.8011701315927 34.29327218541035 10.746392250061035 7.16 6.082117563131573 0.389 0.21
197.5889258964335 7.952747361372169 10.126227378845215 4.14 4.032121666989284 0.042 0.04
219.93631738695242 12.36269454364586 10.418328285217285 5.55 5.160715864835398 0.043 1.0
162.9188744641375 3.219494995861462 10.757783889770508 7.05 6.186271505955629 0.089 0.33
219.94013737431737 18.492363208705655 10.300537109375 6.29 5.301695418689472 0.786 0.15
220.02172236668213 12.322750106298804 10.766534805297852 5.5 4.515401874270989 0.886 0.48
240.64673510910262 13.941781366883106 10.837613105773926 9.75 7.931802749490853 0.897 0.3
246.83306900735658 22.07174070861504 10.379560470581055 7.94 7.854354934137988 0.27 0.08
159.74111640577354 22.701244553722727 10.167702674865723 2.22 2.386318459624497 0.857 0.32
200.3427057125547 25.951042310934174 10.129165649414062 2.94 2.853515555863115 0.139 0.16
234.9050804951337 14.057839357994387 10.382879257202148 6.27 6.255991459626461 0.206 0.93
150.31627949265726 54.71514267961392 10.64217472076416 4.08 3.9450395367602025 0.105 0.33
255.71608174665602 22.39019128026639 10.674269676208496 8.21 6.413758107118059 0.048 0.3
167.5626380550388 28.14294625589882 10.383767127990723 3.89 3.3290151179317626 0.5 0.45
197.97135567633322 51.206860602014096 10.300857543945312 3.63 3.501611702645266 0.148 0.77
146.2554334360386 17.79909924377942 10.57100772857666 8.96 7.578389952707118 0.128 0.05
159.73333846041916 22.80574280898419 10.37017822265625 2.63 2.592426671025923 0.667 0.25
223.70226666069237 25.792490380678508 11.412514686584473 12.34 10.79942561409447 0.833 0.13
172.53221762812836 44.12861807521825 10.569123268127441 4.17 4.074915486660942 0.087 0.11
207.55746977243754 42.74626726282582 10.180030822753906 4.89 4.498876591584878 0.05 0.04
233.45342156905002 42.48566651915815 10.173763275146484 5.19 5.07845117206541 0.034 0.88
228.25801422211836 9.457364402241534 10.076531410217285 3.33 3.0537819615510315 0.135 0.21
207.05517230156693 54.79669685722276 10.158061981201172 4.31 4.624190885280475 0.037 0.89
252.02829741842328 24.907009313383927 10.449131965637207 8.64 7.523708260083352 0.114 0.12
251.11660533433255 26.070215552583296 10.644319534301758 5.75 5.404814669631499 0.281 0.9
189.89776444356025 45.37786072253436 10.688514709472656 5.27 4.430264680120703 0.096 0.64
197.00691579307008 26.76538640791481 10.667435646057129 5.29 5.073290829486813 0.861 0.24
